Code,GEOG,Name,Pre_1900,1900_1918,1919_1929,1930_1939,1945_1954,1955_1964,1965_1972,1973_1982,1983_1992,1993_1999,2000_2009,2010_Present,UNKNOWN,Year
E01009015,LSOA,Birmingham 089G,80,20,170,70,0,20,90,70,20,160,50,30,30,2019
E01009018,LSOA,Birmingham 090B,160,70,130,60,30,10,120,30,40,10,20,30,30,2019
E01009022,LSOA,Birmingham 098B,0,10,320,240,0,0,0,10,10,0,20,0,0,2019
E01009024,LSOA,Birmingham 103D,0,0,130,360,50,0,80,0,0,0,0,10,0,2019
E01009033,LSOA,Birmingham 103F,0,0,30,640,10,0,0,0,0,0,0,0,10,2019
E01009034,LSOA,Birmingham 108B,0,40,230,240,0,0,0,0,10,0,0,40,10,2019
E01009037,LSOA,Birmingham 105D,10,20,310,40,10,10,40,50,120,40,30,50,50,2019
E01009044,LSOA,Birmingham 097C,100,290,10,50,0,0,0,20,0,0,0,0,10,2019
E01009050,LSOA,Birmingham 035A,310,70,10,120,20,10,20,60,0,40,0,0,40,2019
E01009056,LSOA,Birmingham 032B,170,70,30,110,0,0,90,70,30,20,110,40,30,2019
E01009059,LSOA,Birmingham 035E,430,70,0,10,0,0,0,10,0,10,10,0,50,2019
E01009067,LSOA,Birmingham 075B,130,400,30,0,0,20,40,30,10,0,10,0,50,2019
E01009070,LSOA,Birmingham 073B,30,20,120,260,0,20,100,30,30,0,100,10,10,2019
E01009071,LSOA,Birmingham 087B,80,70,20,90,130,80,80,100,80,10,20,30,40,2019
E01009072,LSOA,Birmingham 075E,160,230,120,10,0,40,90,50,90,10,60,40,10,2019
E01009079,LSOA,Birmingham 038A,0,0,0,0,0,40,580,0,0,0,0,0,0,2019
E01009080,LSOA,Birmingham 038B,0,0,0,20,20,300,30,0,10,30,0,0,0,2019
E01009082,LSOA,Birmingham 044A,0,0,0,0,0,0,510,0,0,0,0,0,0,2019
E01009089,LSOA,Birmingham 042D,0,0,20,410,90,0,0,0,0,0,0,0,0,2019
E01009097,LSOA,Birmingham 029B,0,0,0,0,0,70,340,0,0,90,300,0,0,2019
E01009106,LSOA,Birmingham 029F,0,0,0,0,0,10,550,0,0,20,10,0,0,2019
E01009111,LSOA,Birmingham 127B,0,0,0,260,100,140,50,0,0,0,0,70,0,2019
E01009115,LSOA,Birmingham 128E,0,0,0,0,0,0,10,610,0,10,0,10,0,2019
E01009123,LSOA,Birmingham 022A,0,0,100,160,0,80,120,100,0,50,0,20,10,2019
E01009129,LSOA,Birmingham 014C,0,0,50,540,0,0,0,0,0,0,0,0,0,2019
E01009146,LSOA,Birmingham 136B,0,0,0,0,0,0,220,440,150,50,230,150,30,2019
E01009151,LSOA,Birmingham 053A,500,90,0,0,0,10,0,0,0,0,10,0,0,2019
E01009155,LSOA,Birmingham 125B,0,0,0,0,0,0,0,610,0,0,0,0,0,2019
E01009165,LSOA,Birmingham 129C,0,0,40,40,40,170,0,40,100,220,0,0,20,2019
E01009184,LSOA,Birmingham 092B,450,80,10,10,0,0,30,10,70,10,30,10,30,2019
E01009186,LSOA,Birmingham 088D,40,10,90,160,10,230,90,60,0,50,10,60,10,2019
E01009195,LSOA,Birmingham 058A,10,350,210,0,0,0,0,30,0,70,0,0,0,2019
E01009203,LSOA,Birmingham 043C,0,0,0,0,80,610,190,10,50,90,40,0,70,2019
E01009207,LSOA,Birmingham 124B,0,0,0,520,0,10,0,90,0,0,60,0,0,2019
E01009223,LSOA,Birmingham 013A,0,0,40,320,70,140,40,0,80,0,0,10,0,2019
E01009228,LSOA,Birmingham 013D,0,0,10,460,160,30,10,10,0,0,0,0,10,2019
E01009232,LSOA,Birmingham 022D,20,0,110,380,60,0,20,30,0,0,0,0,0,2019
E01009236,LSOA,Birmingham 019B,0,0,20,460,0,30,60,0,0,0,40,0,0,2019
E01009238,LSOA,Birmingham 024B,0,0,90,410,10,40,10,0,60,0,10,0,0,2019
E01009248,LSOA,Birmingham 019D,0,0,0,710,0,0,0,0,0,0,0,0,0,2019
E01009274,LSOA,Birmingham 036C,320,70,20,120,10,30,70,0,20,50,30,20,20,2019
E01009275,LSOA,Birmingham 039A,420,40,0,0,10,10,20,10,0,0,0,30,20,2019
E01009279,LSOA,Birmingham 133E,0,0,0,370,70,0,20,0,0,0,0,0,0,2019
E01009289,LSOA,Birmingham 096E,310,210,0,0,0,0,40,0,10,10,20,10,10,2019
E01009306,LSOA,Birmingham 046B,0,0,10,30,360,60,40,90,60,0,50,50,0,2019
E01009308,LSOA,Birmingham 046C,0,0,0,0,460,20,0,90,0,0,230,0,0,2019
E01009314,LSOA,Birmingham 069B,0,0,0,240,320,50,20,0,0,0,50,60,10,2019
E01009315,LSOA,Birmingham 081A,10,0,10,220,80,210,100,130,40,0,10,0,10,2019
E01009317,LSOA,Birmingham 081C,0,0,0,300,370,90,0,0,0,0,0,130,0,2019
E01009325,LSOA,Birmingham 063A,0,60,280,110,0,0,10,0,0,60,0,0,0,2019
E01009327,LSOA,Birmingham 139B,60,340,40,0,0,0,0,0,0,0,0,0,0,2019
E01009328,LSOA,Birmingham 139C,340,190,0,0,10,0,0,0,0,0,0,0,0,2019
E01009331,LSOA,Birmingham 139D,310,260,0,0,0,0,0,0,0,0,0,0,0,2019
E01009342,LSOA,Birmingham 063D,10,320,60,10,0,0,0,0,0,10,10,0,10,2019
E01009344,LSOA,Birmingham 139H,340,10,0,0,70,10,10,0,30,10,0,0,10,2019
E01009349,LSOA,Birmingham 036D,250,230,60,10,0,0,0,30,50,0,0,10,0,2019
E01009351,LSOA,Birmingham 036E,510,0,60,0,0,0,10,10,0,0,0,0,0,2019
E01009361,LSOA,Birmingham 047E,650,80,0,0,0,20,20,50,0,0,10,0,10,2019
E01009374,LSOA,Birmingham 084B,0,0,0,0,80,0,0,270,40,0,0,0,50,2019
E01009377,LSOA,Birmingham 083C,50,200,0,0,30,10,20,10,90,30,10,0,30,2019
E01009384,LSOA,Birmingham 092E,200,0,0,20,10,10,20,60,130,150,0,70,80,2019
E01009391,LSOA,Birmingham 140D,420,110,0,0,10,0,0,0,0,0,0,0,20,2019
E01009410,LSOA,Birmingham 026D,120,90,140,270,20,0,10,30,60,60,30,20,50,2019
E01009414,LSOA,Birmingham 030E,60,370,50,110,10,10,0,90,10,0,70,120,20,2019
E01009418,LSOA,Birmingham 001B,0,20,30,20,40,170,40,260,70,0,10,0,0,2019
E01009419,LSOA,Birmingham 001C,0,0,10,30,60,350,90,20,0,10,10,30,0,2019
E01009420,LSOA,Birmingham 003B,0,0,70,140,0,370,10,20,40,0,10,30,0,2019
E01009425,LSOA,Birmingham 002D,30,100,80,20,10,310,60,70,0,10,160,20,0,2019
E01009429,LSOA,Birmingham 003D,40,10,10,50,50,360,10,50,0,0,0,10,0,2019
E01009432,LSOA,Birmingham 006A,10,20,60,30,40,330,140,0,0,0,20,0,0,2019
E01009455,LSOA,Birmingham 005F,0,0,0,0,160,10,0,320,10,140,0,0,50,2019
E01009458,LSOA,Birmingham 018D,0,50,70,140,20,60,40,20,80,10,50,260,0,2019
E01009461,LSOA,Birmingham 015C,0,0,20,140,20,40,0,130,150,50,0,0,0,2019
E01009471,LSOA,Birmingham 009E,60,90,50,130,10,130,80,40,10,40,100,20,30,2019
E01009473,LSOA,Birmingham 010E,10,50,50,360,30,0,40,40,0,80,40,10,0,2019
E01009484,LSOA,Birmingham 048D,230,70,0,0,70,10,30,50,50,0,0,20,0,2019
E01009489,LSOA,Birmingham 051D,350,90,0,40,20,10,0,0,10,10,10,0,10,2019
E01009494,LSOA,Birmingham 109A,0,0,0,0,20,310,100,0,0,0,210,0,10,2019
E01009497,LSOA,Birmingham 109C,10,0,50,90,80,90,40,30,100,190,60,10,10,2019
E01009499,LSOA,Birmingham 119E,10,0,520,60,0,0,20,10,0,0,70,0,0,2019
E01009506,LSOA,Birmingham 109E,0,0,0,0,10,350,230,0,50,0,0,10,0,2019
E01009513,LSOA,Birmingham 066F,30,10,430,100,0,10,10,0,0,20,60,10,0,2019
E01009515,LSOA,Birmingham 067C,60,20,40,90,20,100,260,50,0,10,10,10,30,2019
E01009516,LSOA,Birmingham 062C,10,20,240,80,30,60,70,0,30,0,0,10,10,2019
E01009517,LSOA,Birmingham 062D,0,0,60,50,510,10,30,0,0,0,0,0,10,2019
E01033619,LSOA,Birmingham 137D,40,20,90,0,0,0,110,0,0,0,360,140,10,2017
E01033623,LSOA,Birmingham 138C,240,10,0,0,0,0,0,110,140,220,200,270,20,2017
E01033625,LSOA,Birmingham 138D,0,0,0,0,0,0,0,0,0,0,1170,110,30,2017
E01033629,LSOA,Birmingham 106F,20,0,40,50,210,260,330,120,10,50,10,50,10,2017
E01033631,LSOA,Birmingham 079F,70,20,70,40,0,140,130,140,20,20,370,420,300,2017
E01033644,LSOA,Birmingham 052F,450,160,0,0,30,10,0,40,60,50,0,10,40,2017
E01033646,LSOA,Birmingham 031I,270,120,20,0,0,40,50,120,40,70,40,40,30,2017
E01033647,LSOA,Birmingham 058E,120,120,60,70,20,0,0,0,0,30,0,0,0,2017
E01033648,LSOA,Birmingham 084F,750,30,0,0,10,0,0,0,30,10,0,0,30,2017
E01033650,LSOA,Birmingham 077F,430,130,20,0,10,0,20,30,70,0,20,10,10,2017
E01033562,LSOA,Birmingham 087F,90,40,200,140,150,30,300,10,110,0,10,70,20,2017
E01033564,LSOA,Birmingham 136C,0,0,0,10,0,30,0,10,20,0,700,20,20,2017
E01032591,LSOA,Birmingham 133F,0,0,0,70,250,100,50,30,0,0,0,0,0,2017
E01033615,LSOA,Birmingham 135C,50,30,0,0,0,0,0,0,0,0,520,20,30,2017
E01033635,LSOA,Birmingham 039H,200,510,50,110,10,10,0,10,0,90,0,20,10,2017
E01033642,LSOA,Birmingham 063F,30,420,270,100,10,0,0,0,30,0,10,0,0,2017
E01033557,LSOA,Birmingham 134B,0,0,0,0,0,0,0,0,50,20,770,230,20,2017
E01009096,LSOA,Birmingham 029A,0,0,0,0,0,110,540,0,20,20,80,0,10,2017
E01009101,LSOA,Birmingham 029D,0,0,20,0,0,40,270,50,0,170,90,10,10,2017
E01009120,LSOA,Birmingham 123D,30,10,10,200,20,190,10,90,60,20,10,40,10,2017
E01009124,LSOA,Birmingham 022B,0,0,40,20,0,390,80,0,40,30,40,50,0,2017
E01009125,LSOA,Birmingham 022C,0,0,450,180,0,0,50,0,0,20,0,0,0,2017
E01009132,LSOA,Birmingham 014D,0,0,220,300,20,0,10,60,0,0,0,0,10,2017
E01009133,LSOA,Birmingham 011E,0,0,170,250,20,0,0,170,0,0,0,0,10,2017
E01009140,LSOA,Birmingham 060C,180,100,110,40,10,0,80,130,50,0,0,10,50,2017
E01009141,LSOA,Birmingham 137A,0,0,0,0,0,60,390,240,80,20,0,10,20,2017
E01009164,LSOA,Birmingham 130B,20,10,200,0,70,110,10,40,180,10,0,10,0,2017
E01009169,LSOA,Birmingham 129D,0,0,40,400,150,50,0,0,0,0,40,0,10,2017
E01009177,LSOA,Birmingham 104B,420,150,10,10,10,0,0,10,20,0,30,0,10,2017
E01009185,LSOA,Birmingham 093A,90,140,40,30,0,140,130,40,40,10,80,0,30,2017
E01009189,LSOA,Birmingham 104E,270,60,110,60,0,10,90,0,10,0,0,0,10,2017
E01009194,LSOA,Birmingham 051A,180,260,60,0,10,0,0,0,10,30,130,210,40,2017
E01009198,LSOA,Birmingham 058D,250,140,0,0,10,0,0,0,0,60,10,0,0,2017
E01009208,LSOA,Birmingham 124C,0,0,0,510,40,10,0,20,0,0,100,150,10,2017
E01009211,LSOA,Birmingham 120C,0,20,30,0,60,0,0,440,70,50,0,0,0,2017
E01009230,LSOA,Birmingham 017C,10,0,70,470,0,60,40,20,0,0,0,40,10,2017
E01009233,LSOA,Birmingham 008D,0,0,200,420,0,0,0,0,0,0,0,0,0,2017
E01009239,LSOA,Birmingham 033F,60,80,60,110,0,110,70,20,20,40,0,0,10,2017
E01009246,LSOA,Birmingham 016D,0,0,0,510,70,30,40,10,0,0,0,0,0,2017
E01009249,LSOA,Birmingham 080A,0,0,10,440,200,10,0,0,0,0,0,0,0,2017
E01009254,LSOA,Birmingham 085C,0,0,70,370,60,90,10,30,40,10,0,130,20,2017
E01009255,LSOA,Birmingham 080E,0,0,0,380,100,90,30,0,0,30,20,0,0,2017
E01009261,LSOA,Birmingham 073E,0,40,100,390,10,30,60,50,0,0,0,0,0,2017
E01009266,LSOA,Birmingham 034A,200,350,20,10,0,20,0,40,0,0,0,10,10,2017
E01009292,LSOA,Birmingham 099B,0,10,30,480,0,30,130,0,0,0,0,0,0,2017
E01009296,LSOA,Birmingham 100E,390,160,10,10,0,0,10,10,10,0,0,0,10,2017
E01009298,LSOA,Birmingham 054D,0,0,0,530,0,10,0,0,10,10,30,0,0,2017
E01009300,LSOA,Birmingham 057C,0,0,20,470,130,80,10,0,20,0,0,0,0,2017
E01009316,LSOA,Birmingham 081B,20,10,0,320,200,70,70,0,0,0,0,50,0,2017
E01009320,LSOA,Birmingham 081F,0,0,10,420,120,30,40,0,20,0,0,0,10,2017
E01009326,LSOA,Birmingham 066D,0,10,460,50,30,0,0,0,0,0,0,0,0,2017
E01009341,LSOA,Birmingham 066E,10,10,120,340,10,10,0,50,0,0,0,0,10,2017
E01009350,LSOA,Birmingham 039B,440,20,0,0,20,0,0,0,0,0,0,10,0,2017
E01009359,LSOA,Birmingham 047C,240,380,0,30,0,10,0,0,0,60,0,0,20,2017
E01009368,LSOA,Birmingham 077A,260,10,0,0,20,20,0,10,40,0,0,0,60,2017
E01009375,LSOA,Birmingham 083B,310,60,0,0,30,0,10,10,90,10,20,0,10,2017
E01009385,LSOA,Birmingham 092F,320,20,0,20,0,30,70,30,30,70,20,0,30,2017
E01009498,LSOA,Birmingham 119D,0,0,650,20,0,20,0,0,0,10,0,0,0,2017
E01009503,LSOA,Birmingham 101D,0,0,600,10,0,0,10,0,0,0,0,0,0,2017
E01009508,LSOA,Birmingham 056C,10,10,20,140,140,40,240,10,10,0,10,0,0,2017
E01009511,LSOA,Birmingham 054F,0,10,10,420,30,10,0,0,10,0,10,0,0,2017
E01009514,LSOA,Birmingham 062B,0,0,70,230,80,100,50,0,10,0,90,0,0,2017
E01008886,LSOA,Birmingham 076B,10,380,0,0,10,0,130,40,90,30,20,0,20,2017
E01008887,LSOA,Birmingham 078C,90,100,180,260,0,0,10,0,0,0,0,0,0,2017
E01008891,LSOA,Birmingham 089B,0,40,10,270,30,0,200,0,0,120,0,0,0,2017
E01008896,LSOA,Birmingham 066B,0,0,490,10,0,0,60,0,10,0,0,0,0,2017
E01008906,LSOA,Birmingham 049A,310,0,0,0,0,0,110,40,10,10,0,20,10,2017
E01008916,LSOA,Birmingham 037E,130,260,0,10,10,10,10,0,50,10,10,0,10,2017
E01008941,LSOA,Birmingham 115C,0,0,340,200,0,40,0,0,0,0,0,0,20,2017
E01008948,LSOA,Birmingham 122D,0,0,10,350,120,140,10,0,0,0,20,0,0,2017
E01008956,LSOA,Birmingham 112D,110,250,110,10,0,30,0,0,30,0,10,0,60,2017
E01008957,LSOA,Birmingham 112E,320,200,10,20,10,30,0,40,50,0,50,40,20,2017
E01008962,LSOA,Birmingham 116D,10,10,20,10,230,220,210,70,10,30,50,80,0,2017
E01008970,LSOA,Birmingham 110C,0,0,0,220,50,60,170,80,0,0,0,0,10,2017
E01008974,LSOA,Birmingham 118C,0,0,10,250,70,40,110,30,20,20,610,10,10,2017
E01009003,LSOA,Birmingham 018B,90,100,80,120,0,140,120,0,10,0,0,10,10,2017
E01009005,LSOA,Birmingham 025A,0,10,20,80,10,310,100,40,0,30,60,90,10,2017
E01009048,LSOA,Birmingham 040D,330,70,10,100,0,0,20,0,0,30,20,20,30,2017
E01009078,LSOA,Birmingham 087E,60,10,140,230,30,10,100,80,0,0,0,20,0,2017
E01009081,LSOA,Birmingham 038C,0,0,0,100,0,130,320,0,0,20,0,0,0,2017
E01009086,LSOA,Birmingham 044B,0,0,40,370,0,50,70,0,90,0,0,0,0,2017
E01009088,LSOA,Birmingham 045A,0,0,0,380,140,10,60,0,0,0,140,0,0,2017
E01009090,LSOA,Birmingham 042E,10,0,100,390,0,10,0,30,0,0,0,0,0,2017
E01009421,LSOA,Birmingham 004A,0,30,10,90,30,290,60,40,10,20,40,10,0,2017
E01009423,LSOA,Birmingham 002C,30,30,100,10,300,120,120,10,30,0,10,0,0,2017
E01009427,LSOA,Birmingham 004C,30,70,50,20,10,150,110,160,30,60,20,10,10,2017
E01009431,LSOA,Birmingham 003E,0,30,10,30,20,430,10,40,10,10,20,60,0,2017
E01009436,LSOA,Birmingham 012B,0,0,0,10,10,0,110,120,220,60,20,0,0,2017
E01009462,LSOA,Birmingham 018F,170,270,130,40,10,40,100,0,70,0,10,0,10,2017
E01009472,LSOA,Birmingham 010D,0,50,80,310,20,110,10,0,0,0,40,50,0,2017
E01009476,LSOA,Birmingham 055B,10,20,370,20,0,50,90,0,0,10,0,0,0,2017
E01009480,LSOA,Birmingham 044C,0,0,390,140,20,0,30,20,0,0,0,20,0,2017
E01009483,LSOA,Birmingham 051B,410,10,0,10,0,10,10,10,30,30,0,0,0,2017
E01009490,LSOA,Birmingham 055D,10,20,420,20,20,0,170,0,10,0,0,0,0,2017
E01009495,LSOA,Birmingham 106E,0,0,0,0,160,200,50,0,0,90,0,10,0,2017
E01033617,LSOA,Birmingham 050F,30,30,20,0,0,0,130,160,40,0,500,560,30,2017
E01033624,LSOA,Birmingham 134C,0,0,0,0,50,0,20,0,0,0,520,250,30,2017
E01033627,LSOA,Birmingham 137E,10,0,0,0,0,10,340,0,0,140,30,0,10,2017
E01033633,LSOA,Birmingham 125G,0,0,0,0,20,10,0,750,0,140,110,330,20,2017
E01033637,LSOA,Birmingham 041G,270,10,0,0,0,0,150,310,70,90,0,0,10,2017
E01033639,LSOA,Birmingham 136D,40,0,0,60,0,430,40,230,0,100,130,420,0,2017
E01033640,LSOA,Birmingham 134E,0,0,0,0,60,250,0,0,0,30,160,20,10,2017
E01033559,LSOA,Birmingham 049E,150,130,0,0,0,0,0,0,10,0,450,180,60,2017
E01033621,LSOA,Birmingham 035G,290,330,60,20,0,60,20,60,0,0,50,110,30,2017
E01033622,LSOA,Birmingham 138B,10,0,0,0,0,0,120,0,0,60,690,160,20,2017
E01033626,LSOA,Birmingham 134D,0,0,0,0,0,70,70,0,0,0,450,0,10,2017
E01033628,LSOA,Birmingham 041F,380,10,0,0,0,0,130,170,50,50,0,200,70,2017
E01033641,LSOA,Birmingham 140G,410,350,120,10,10,0,0,0,0,0,90,0,0,2017
E01033618,LSOA,Birmingham 137C,40,0,0,0,0,0,0,0,0,0,790,0,10,2017
E01033634,LSOA,Birmingham 096G,610,170,0,0,0,0,0,0,0,170,60,320,20,2017
E01033636,LSOA,Birmingham 037F,570,130,90,0,0,0,20,0,50,0,20,0,20,2017
E01033638,LSOA,Birmingham 049F,60,20,0,30,10,160,220,40,20,30,10,20,90,2017
E01033645,LSOA,Birmingham 088E,700,70,10,0,30,0,30,0,30,10,30,0,20,2017
E01033632,LSOA,Birmingham 023F,110,280,100,10,0,450,20,10,0,90,0,140,10,2017
E01033643,LSOA,Birmingham 082F,640,70,0,0,30,0,0,0,20,0,30,0,50,2017
E01033649,LSOA,Birmingham 058F,10,260,190,0,0,0,0,0,0,0,60,0,0,2017
E01033561,LSOA,Birmingham 050E,80,10,0,70,70,70,130,40,0,70,220,390,20,2017
E01033565,LSOA,Birmingham 137B,20,20,0,0,0,0,0,0,70,110,430,0,0,2017
E01033567,LSOA,Birmingham 135B,0,0,0,0,0,0,0,0,0,0,730,30,10,2017
E01033616,LSOA,Birmingham 135D,0,0,0,0,20,0,490,0,0,0,210,150,10,2017
E01033620,LSOA,Birmingham 138A,80,100,0,0,0,0,0,60,0,0,480,90,10,2017
E01033630,LSOA,Birmingham 031H,70,40,0,0,0,0,0,0,20,0,430,0,80,2017
E01032589,LSOA,Birmingham 132E,0,0,140,190,0,0,70,0,110,40,40,20,10,2017
E01009491,LSOA,Birmingham 051E,40,320,80,0,0,0,30,0,0,0,0,40,10,2017
E01009492,LSOA,Birmingham 055E,30,170,300,50,0,0,0,0,0,0,0,0,0,2017
E01009493,LSOA,Birmingham 113D,0,0,0,0,0,290,210,0,0,0,280,210,0,2017
E01009501,LSOA,Birmingham 101B,0,0,570,20,0,0,20,0,0,0,10,0,10,2017
E01009510,LSOA,Birmingham 056E,0,30,100,10,30,20,370,110,40,0,0,0,0,2017
E01009520,LSOA,Birmingham 072D,0,10,30,460,30,0,70,0,100,20,0,0,10,2017
E01009521,LSOA,Birmingham 067E,30,110,160,240,0,50,0,10,40,0,0,0,0,2017
E01009469,LSOA,Birmingham 010B,0,0,10,50,10,70,340,10,10,100,10,0,0,2017
E01009474,LSOA,Birmingham 010F,50,60,30,400,20,60,20,0,10,10,10,0,0,2017
E01009454,LSOA,Birmingham 006E,20,0,20,10,0,10,10,240,350,10,10,0,0,2017
E01009457,LSOA,Birmingham 015A,0,10,40,50,40,460,60,0,0,0,0,0,0,2017
E01009465,LSOA,Birmingham 007C,0,0,0,370,110,10,10,0,0,0,10,0,0,2017
E01009488,LSOA,Birmingham 051C,0,260,370,0,10,0,90,10,0,20,0,20,0,2017
E01009500,LSOA,Birmingham 095E,0,0,320,0,10,110,40,0,80,90,0,10,0,2017
E01009250,LSOA,Birmingham 080B,40,50,20,60,60,30,360,10,40,40,20,10,10,2017
E01009257,LSOA,Birmingham 080F,0,0,10,130,390,0,30,60,0,0,0,10,0,2017
E01009259,LSOA,Birmingham 094E,0,0,0,0,0,0,570,110,0,0,0,20,30,2017
E01009262,LSOA,Birmingham 133A,10,10,10,310,20,20,10,70,60,0,0,10,40,2017
E01009267,LSOA,Birmingham 133B,0,0,0,80,110,130,170,50,0,40,0,10,0,2017
E01009268,LSOA,Birmingham 036A,10,20,190,230,0,0,0,0,0,0,0,0,0,2017
E01009270,LSOA,Birmingham 034C,420,60,20,20,20,20,10,10,30,0,0,30,80,2017
E01009282,LSOA,Birmingham 100B,70,220,40,100,0,10,20,30,130,50,30,0,10,2017
E01009288,LSOA,Birmingham 100C,120,30,60,50,10,20,40,100,30,10,0,0,10,2017
E01009293,LSOA,Birmingham 100D,170,190,70,130,10,0,0,0,60,0,10,10,0,2017
E01009299,LSOA,Birmingham 057B,0,0,0,270,210,0,0,10,90,80,0,0,0,2017
E01009301,LSOA,Birmingham 057D,0,0,0,0,500,50,140,0,50,60,0,0,0,2017
E01009302,LSOA,Birmingham 069A,0,0,10,120,80,210,90,150,0,0,0,0,0,2017
E01009329,LSOA,Birmingham 070A,470,140,10,0,0,0,0,10,20,30,20,10,0,2017
E01009332,LSOA,Birmingham 139E,230,10,10,20,10,30,20,90,130,10,0,30,20,2017
E01009333,LSOA,Birmingham 139F,400,0,20,0,20,10,0,0,0,0,0,0,0,2017
E01009334,LSOA,Birmingham 070B,270,100,10,0,10,0,0,50,0,0,10,0,0,2017
E01009335,LSOA,Birmingham 139G,20,470,10,0,0,0,0,0,0,0,0,0,0,2017
E01009347,LSOA,Birmingham 049D,30,10,0,0,0,0,260,110,100,20,0,10,10,2017
E01009348,LSOA,Birmingham 047A,130,30,0,0,0,0,130,340,50,0,100,40,10,2017
E01009352,LSOA,Birmingham 039C,380,60,20,0,0,0,0,0,10,0,0,0,10,2017
E01009353,LSOA,Birmingham 039D,460,40,0,0,0,0,0,0,0,0,0,0,0,2017
E01009363,LSOA,Birmingham 071B,150,0,0,0,10,0,20,170,200,30,0,0,0,2017
E01009382,LSOA,Birmingham 140C,180,190,10,0,0,0,10,40,0,0,0,0,10,2017
E01009389,LSOA,Birmingham 093B,40,250,60,50,10,10,0,60,10,0,0,0,20,2017
E01009404,LSOA,Birmingham 020B,0,0,360,260,10,10,0,0,0,0,10,0,0,2017
E01009408,LSOA,Birmingham 026B,10,110,270,270,10,0,0,0,0,0,10,0,10,2017
E01009413,LSOA,Birmingham 030D,180,260,0,160,0,10,50,20,30,0,0,0,10,2017
E01009433,LSOA,Birmingham 001D,0,0,0,0,30,10,20,240,400,10,70,0,0,2017
E01009435,LSOA,Birmingham 006B,0,20,30,20,0,10,0,100,160,280,80,0,0,2017
E01009438,LSOA,Birmingham 012C,0,0,0,0,0,0,0,330,240,50,0,0,0,2017
E01009439,LSOA,Birmingham 021A,0,0,20,130,20,250,110,70,20,0,20,0,0,2017
E01009446,LSOA,Birmingham 005B,0,10,90,80,20,120,120,60,150,90,270,30,0,2017
E01009449,LSOA,Birmingham 009A,40,220,50,50,10,20,320,20,140,0,140,20,20,2017
E01009453,LSOA,Birmingham 009C,0,110,60,260,0,10,0,0,0,0,0,10,0,2017
E01009127,LSOA,Birmingham 011A,0,0,390,120,0,0,0,60,0,30,0,0,0,2017
E01009131,LSOA,Birmingham 011D,0,0,370,150,0,0,0,0,0,0,0,0,0,2017
E01009157,LSOA,Birmingham 125D,0,0,0,0,0,0,0,630,10,0,0,0,10,2017
E01009159,LSOA,Birmingham 130A,0,0,0,30,20,60,10,60,70,240,270,150,10,2017
E01009160,LSOA,Birmingham 125E,0,0,0,0,220,200,30,130,40,20,20,0,100,2017
E01009162,LSOA,Birmingham 124A,0,0,0,460,0,90,100,0,10,0,10,0,10,2017
